u_1,u_2,u_3
-0.022230805061656325,-0.016211486606266264,-0.02369235791231503
0.01672641994305558,-0.0041793990513836424,-0.03319187984798135
-0.06262050642205311,0.02858256740390962,-0.04443709298066972
0.028052786304602326,-0.010414579669104576,-0.04706338417145891
-0.009183934933196709,-0.0028778842231302723,0.10586337353813567
0.001316244873869121,0.011601273045037082,0.07787475323901634
0.013505216694965436,-0.05283384044609003,0.24962695693454454
-0.0002433079574719593,-0.022558996079212325,0.09360199464197508
0.0016942398585807108,0.07985877697858737,0.0597225763829559
0.0393403225188369,0.041643032061260674,0.022701637303496516
-0.08160372780883593,0.004164852100598498,0.04400320941336986
-0.03164695446963098,0.022457327894238783,0.029169161747101418
-0.02185500268183616,0.053133917963837,-0.028601051232385127
-0.029753263745396014,0.04306505161054071,0.06566198812933913
-0.10864203993572914,-0.14463741950561307,-0.0986025980014334
0.11230126080802087,-0.12812705668009963,-0.07833981041724902
-0.08406179861957805,0.113137764715217,-0.07986609988007227
0.0894063905038734,0.10478560216814835,-0.059306942419670626
-0.06537524864406785,-0.08775762117243732,0.09108188591144854
0.08784333694815086,-0.0793084821021652,0.09146718361247444
-0.07189182948995894,0.09985494693043881,0.10046672904364691
0.09291447224768032,0.0929573189859142,0.09939972956781373
-0.1572137238571482,0.0009101686477524976,-0.012952452392509948
0.12407324659557516,0.0005388344630752541,-0.010931050268628416
-0.003704776417985275,-0.14667300515136586,-0.009811861033663804
-0.003376199607122265,0.1409042985064523,-0.008631321284570479
-0.015559373517510855,-0.0021947106891231933,-0.20894345315300142
-0.00670306104343075,3.570598536186187e-05,0.2597762011301951
-0.009928742813776053,0.005940505838948005,-0.003256261621386145
-0.21583772269757864,-0.23907242636429474,-0.1273606609226758
0.0383954751763146,0.013342358064934957,-0.007064367347279724
-0.009418269633588477,-0.006383385256165929,-0.0237939168839587
-0.005070602816200661,0.012374351311496801,-0.03180760794208094
0.33559443011388557,-0.18534751901392824,-0.1051724887462505
-0.026740438005500064,0.07273364713550189,0.030512975817238597
-0.04477575895278602,0.0069439675567552804,-0.0032569081571631937
-0.2057594702579067,0.35249268495366887,-0.11969675107528784
-0.0010665530574093436,0.013873406302183623,-0.010805831181072124
0.30442607154196116,0.3102114843748058,-0.09902420666574292
0.006136291511325539,0.012948442040620615,0.07284467521991123
-0.013703876879034141,0.023253800659770375,0.07044079302772753
-0.1008158406134834,-0.05308378135100264,0.47453729468496075
-0.02531489842222985,0.023006124605356625,0.0706271124146862
0.11360509677529419,0.019980072479459852,0.1581261669091007
-0.028407959164766353,0.05800219484460577,0.16669941226677737
-0.00939784772468572,0.0004989945343769328,0.061395581412352594
-0.03803538842795328,0.007786037740569846,0.10708791758054415
0.06442895933771667,0.015131143571567064,0.09764955943351611
0.03986316331287157,0.04840484620695813,0.2726802753996869
-0.04759392169405411,0.01964689502619598,-0.011952636605567422
0.05913594697410202,0.023512456973257847,-0.008112179489553038
0.024973336849025977,0.017626791527935542,0.0497189194971294
0.042730906704,0.01893060532014868,0.06435402601070493
0.08345242500161153,0.035824855700004606,-0.012281520840635376
-0.08648449634816684,-0.0023942724654749652,-0.0030863946605431715
-0.08789046965730582,0.019242648184670745,0.15429191657756292
-0.017070283550389767,0.006660741521486377,0.07430677133066645
-0.040708931184207424,-0.10008473685207811,-0.023681900417142753
-0.04058018850466926,-0.018304652814759556,0.07361978725583215
-0.05558284846820923,0.11938141265513903,-0.0201280035385828
-0.02378567056008519,0.015237805580729026,-0.027125132881345285
-0.04961076757886355,0.06208542730536309,-0.02602671472467498
0.0016979820118564995,0.027678457151281304,-0.05271084597039691
-0.0038272000433448574,0.007826169209287182,-0.12120317983202947
0.001796606964001419,-0.010697842550009877,0.17010158278426515
-0.012757187915897871,0.014699167690640213,0.17924436821106812
-0.6270817241962888,-0.20116307303694567,-0.20988944807175117
0.471448008253098,-0.16914713387285227,-0.16637236334924016
0.18705954128944552,-0.4344889904309735,-0.1577422385358817
0.07056684140210646,-0.06338667429248895,-0.1645677228475269
-0.6164375878429047,0.2026733632512625,-0.2094292478297209
-0.16653024145009512,0.46235944598196665,-0.1601581341931209
0.1719210121351544,0.43246719213781376,-0.158030400194233
-0.1944766561474272,-0.06511779902767546,0.06937222224373368
-0.13691946301129232,-0.1389655615837036,0.41247050186935313
0.12820306000055098,-0.11644631978167805,0.3528321039217227
0.08148855332581324,0.16463754613111672,0.0667985881226807
0.12343168598926745,0.10548410356668451,0.3355601767334455
-0.20036963878759978,0.06671301481336142,0.07214041167679115
0.4630986535700827,0.16854928490893517,-0.1645621708958133
0.45039995151409307,-0.11150367459432466,0.18762867715498183
0.40367257408293356,0.10927946844165012,0.1633507443614077
-0.17476519879918778,-0.47592724743192266,-0.1636645023218256
-0.20070414975605677,-0.3741160049004259,0.19066283766968017
0.07698867705687207,-0.15467852190735779,0.05656490067590526
-0.15009846037558788,0.3147145680336889,0.14097788043328532
-0.07709371566149929,-0.05542363690117108,-0.2512933407754226
-0.048766765754020135,0.0236148389291135,-0.2150556921632735
0.0631765626140465,0.05955767298214082,-0.15996384479055073
-0.1299538681436351,0.1310349663161081,0.3910893701043957
-0.2216641712497965,-0.09490532751247081,-0.19044630598963094
0.021086724426286806,0.04064152032706292,-0.030751529697138374
0.3473936508988399,-0.060080754697891925,-0.10108170691529675
0.040231459354386476,-0.00466455650842033,0.022674316101079787
-0.03510357336742178,-0.010144061206837718,-0.042951669774174035
0.11349963388179017,-0.04467722998771921,-0.02321828988753668
0.037072664827884294,-0.08341583502414104,-0.07253971579533403
-0.278008189163965,0.13713919967047938,-0.2268850443121814
-0.03678881554362075,-0.006645463000632019,0.11616340270012158
-0.09653277673979002,0.3474212723165531,-0.04217871561066889
0.036443316709095015,0.11933098741530027,-0.08630157118099457
0.020652531374834904,0.05303019447396528,0.12021941039446887
-0.058456468942176855,0.012122529416594701,0.4109037633482487
-0.040387736841695714,-0.04776978381165531,0.09011642002914823
0.04624645260673296,-0.055482146139560824,0.22135489329136485
0.031539183562263186,0.10062265954298674,0.04687342081118614
-0.043389970295973024,-0.05219789571380924,0.10723530419381108
0.06165827684587468,0.023031946950772104,0.29045964120207973
-0.08394538252564798,0.053557991592589414,0.1637788971498259
0.36733504270456735,0.1224175232177906,-0.11499160730809033
-0.003940972284217971,0.03490547670469621,0.07156396808138733
0.03843208858094979,-0.010344647870433751,0.028210587706470835
0.2954469221712548,0.05076939609127748,0.18651087546735698
0.2014432454090918,-0.08687324150110765,0.12091681844420045
-0.028600480287427316,-0.02865771248336845,0.08343726292615136
-0.04036267436895041,0.0078056450522531835,0.09977996199300916
-0.04703992077143961,-0.10570096069114897,0.04745451897570451
0.03051315321056729,-0.062487095426257265,0.04233412739038372
-0.06491944155426098,-0.2330562724452447,-0.07830050321050795
-0.0666505310506975,0.17221100132142453,0.05906727269383945
-0.11751724906200016,-0.08847694601962298,-0.08537977997551731
-0.017411978992862183,0.06466182446454019,-0.03238481463686356
-0.1330797101899157,0.1618130297541164,-0.05564758425773704
-0.039421910604886465,-0.014023829757881941,-0.05997237342602447
0.1734164170195148,0.09291424457142056,0.004155571733655494
-0.05459118014306854,0.06593810442746344,0.3868355079966461
0.10739257555644562,1.4388031784465239e-05,-0.09632088095982325
0.2148923710016457,-0.23677409793742504,-0.0016349695534246171
-0.003441224333329074,-0.12176087441919632,-0.10056166796599064
-0.08982715664738126,0.13345262820920117,-0.019643425065007908
